Species,Alpha,Group,Abundance
American Bittern,AMBI,FAC,6
American Coot,AMCO,WET,18
American Widgeon,AMWI,FAC,28
Blue-winged Teal,BWTE,FAC,495
Bobolink,BOBO,OBL,20
Brewer's Blackbird,BRBL,FAC,160
Canada Goose,CAGO,FAC,3
Chestnut-collared Longspur,CCLO,OBL,84
Clay-colored Sparrow,CCSP,FAC,776
Common Grackle,COGR,FAC,1
Common Nighthawk,CONI,FAC,20
Dickcissel,DICK,OBL,11
Eastern Kingbird,EAKI,FAC,16
Gadwall,GADW,FAC,200
Grasshopper Sparrow,GRSP,OBL,83
Green-winged Teal,GWTE,FAC,7
Horned Lark,HOLA,OBL,5
Killdeer,KILL,FAC,16
Lesser Scaup,LESC,FAC,7
Mallard,MALL,FAC,104
Marbled Godwit,MAGO,OBL,6
Marsh Wren,MAWR,WET,2
Mourning Dove,MODO,FAC,138
Northern Pintail,NOPI,FAC,199
Northern Shoveler,NSHO,FAC,106
Pied-billed Grebe,PBGR,WET,5
Red-winged Blackbird,RWBL,FAC,159
Savannah Sparrow,SAVS,OBL,48
Sharp-tailed Grouse,STGR,OBL,20
Sora,SORA,WET,6
Upland Sandpiper,UPSA,OBL,23
Western Meadowlark,WEME,OBL,351
Willet,WILL,FAC,18
Wilson's Phalarope,WIPH,WET,13
Wilson's Snipe,WISN,WET,31
Yellow-headed Blackbird,YHBL,WET,19
