species_abbreviation,site_abbreviation,year,date_format,nid_estimated,nid_how,clutch_size,n_nest,comments
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),178,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),171,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),162,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),188,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),149,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),132,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),139,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),140,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MODO,CGREC - MTORG,2021,ordinal (1 = January 1),149,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
KILL,CGREC - MTORG,2021,ordinal (1 = January 1),187,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
STGR,CGREC - MTORG,2021,ordinal (1 = January 1),168,candling/back dating,9,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
STGR,CGREC - MTORG,2021,ordinal (1 = January 1),182,candling/back dating,8,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),171,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),177,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WIPH,CGREC - MTORG,2021,ordinal (1 = January 1),143,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
WIPH,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
AMWI,CGREC - MTORG,2021,ordinal (1 = January 1),160,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
AMWI,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),170,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,11,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),157,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),177,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),172,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),141,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),167,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),153,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCLO,CGREC - MTORG,2021,ordinal (1 = January 1),138,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),160,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
