Year,Nest.ID,Spec,Field,Ref,Date,Visit_Interval,expos,Survive (evi),survive,trials,Egg,Landscape,Dist,GRASS,MCM,Julian,Dist.Edge,Nht,Robel,DeadVeg,Forb,Area,PeriAreaR,C.Man,Y.Man,MeanPC1,MeanPC2,SDPC1,Ag.Edge,For.Edge,Grass.100,For.1600,Grass.1600,TE.1600
2011,DM2-DICK1,DICK,DM-2,1/1/2011,6/17/2011,1,2,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-1.203872769,-1.304076525,0.269124997,0.964348552,3.157566827,-0.492005605,0.784594286,0.452332119,-1.137695426,-1.022998697,1.206647475,0.031712786,0.303664552,-0.14503117,1.602380338,-0.153841076,-1.113739081,-0.69767453,0.183494422
2011,DM2-DICK1,DICK,DM-2,1/1/2011,6/20/2011,2,3,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-0.996368012,-1.304076525,0.269124997,0.964348552,3.157566827,-0.492005605,0.784594286,0.452332119,-1.137695426,-1.022998697,1.206647475,0.031712786,0.303664552,-0.14503117,1.602380338,-0.153841076,-1.113739081,-0.69767453,0.183494422
2011,DM2-DICK1,DICK,DM-2,1/1/2011,6/23/2011,3,3,SURVIVE,1,1,EGG,BH,Control,Brome,Disk,-0.788863254,-1.304076525,0.269124997,0.964348552,3.157566827,-0.492005605,0.784594286,0.452332119,-1.137695426,-1.022998697,1.206647475,0.031712786,0.303664552,-0.14503117,1.602380338,-0.153841076,-1.113739081,-0.69767453,0.183494422
2011,DM2-DICK1,DICK,DM-2,1/1/2011,6/27/2011,4,4,SURVIVE,1,1,NTLG,BH,Control,Brome,Disk,-0.512190245,-1.304076525,0.269124997,0.964348552,3.157566827,-0.492005605,0.784594286,0.452332119,-1.137695426,-1.022998697,1.206647475,0.031712786,0.303664552,-0.14503117,1.602380338,-0.153841076,-1.113739081,-0.69767453,0.183494422
2011,DM2-DICK1,DICK,DM-2,1/1/2011,7/1/2011,5,4,SURVIVE,1,1,NTLG,BH,Control,Brome,Disk,-0.235517236,-1.304076525,0.269124997,0.964348552,3.157566827,-0.492005605,0.784594286,0.452332119,-1.137695426,-1.022998697,1.206647475,0.031712786,0.303664552,-0.14503117,1.602380338,-0.153841076,-1.113739081,-0.69767453,0.183494422
2011,JC1-DICK1,DICK,JC-1,1/1/2011,6/4/2011,1,3,SURVIVE,1,1,EGG,KEW,Control,Native,Spray/Seed,-2.103060049,-0.308238407,-0.526698335,1.442678288,-0.717227383,0.949996908,-0.738905805,1.255659119,-1.137695426,-1.022998697,0.444466736,-2.854599882,-0.805199279,-1.205836292,-1.326132455,1.616132963,1.679644521,1.286961089,0.885363279
2011,JC1-DICK1,DICK,JC-1,1/1/2011,6/9/2011,2,5,SURVIVE,1,1,EGG,KEW,Control,Native,Spray/Seed,-1.757218788,-0.308238407,-0.526698335,1.442678288,-0.717227383,0.949996908,-0.738905805,1.255659119,-1.137695426,-1.022998697,0.444466736,-2.854599882,-0.805199279,-1.205836292,-1.326132455,1.616132963,1.679644521,1.286961089,0.885363279
2011,JC1-DICK1,DICK,JC-1,1/1/2011,6/13/2011,3,4,SURVIVE,1,1,EGG,KEW,Control,Native,Spray/Seed,-1.480545778,-0.308238407,-0.526698335,1.442678288,-0.717227383,0.949996908,-0.738905805,1.255659119,-1.137695426,-1.022998697,0.444466736,-2.854599882,-0.805199279,-1.205836292,-1.326132455,1.616132963,1.679644521,1.286961089,0.885363279
2011,JC1-DICK1,DICK,JC-1,1/1/2011,6/15/2011,4,2,SURVIVE,1,1,EGG,KEW,Control,Native,Spray/Seed,-1.342209273,-0.308238407,-0.526698335,1.442678288,-0.717227383,0.949996908,-0.738905805,1.255659119,-1.137695426,-1.022998697,0.444466736,-2.854599882,-0.805199279,-1.205836292,-1.326132455,1.616132963,1.679644521,1.286961089,0.885363279
2011,JC1-DICK1,DICK,JC-1,1/1/2011,6/17/2011,5,2,SURVIVE,1,1,EGG,KEW,Control,Native,Spray/Seed,-1.203872769,-0.308238407,-0.526698335,1.442678288,-0.717227383,0.949996908,-0.738905805,1.255659119,-1.137695426,-1.022998697,0.444466736,-2.854599882,-0.805199279,-1.205836292,-1.326132455,1.616132963,1.679644521,1.286961089,0.885363279
