Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,AMCO,464742,5176584,6/25/2023,-8,3,Failed,0,0,1
2023,AMCO,464745,5176587,6/9/2023,unk,0,Failed,0,13,13
2023,MODO,464691,5176743,7/12/2023,9,2,Failed,0,2,2
2023,RWBL,464535,5176579,6/27/2023,-3,25,Survive,0,2,1
2023,CCSP,465097,5176904,7/3/2023,0,8,Failed,1,3,3
2023,CCSP,464194,5176836,7/12/2023,-3,5,Failed,2,2,1
2023,GADW,465275,5176301,7/7/2023,16,12,Survive,0,9,9
2023,CCSP,464322,5175987,7/9/2023,-3,3,Failed,0,1,1
2023,RWBL,464893,5176340,7/9/2023,-2,25,Survive,0,3,1
2023,AMBI,464772,5177032,7/13/2023,0,7,Failed,0,4,4
2023,AMBI,464906,5176645,6/30/2023,0,28,Survive,0,3,2
2023,GADW,465617,5177163,7/5/2023,5,6,Failed,0,4,4
2023,CCSP,464316,5176140,7/9/2023,1,19,Failed,0,3,3
2023,CCSP,464684,5176213,7/9/2023,3,8,Failed,0,3,2
2023,CCSP,464634,5175939,7/9/2023,1,19,Survive,0,3,3
2023,MODO,464219,5176258,7/11/2023,10,3,Failed,0,2,2
2023,RWBL,465675,5175942,5/29/2023,-2,6,Survive,0,2,0
2023,WEME,464181,5176117,7/9/2023,-4,8,Failed,0,5,2
2023,CCSP,464358,5177084,7/12/2023,-3,2,Failed,0,1,1
2023,CCSP,464904,5175690,5/31/2023,6,18,Survive,1,2,3
2023,BWTE,464591,5175671,6/1/2023,11,14,Failed,0,10,10
2023,CCSP,464729,5175722,6/4/2023,4,8,Failed,1,3,3
2023,BWTE,464803,5175805,5/31/2023,10,15,Failed,0,11,11
2023,CCSP,465046,5175828,5/31/2023,4,18,Survive,0,4,4
2023,GADW,464947,5176377,6/21/2023,13,12,Survive,0,11,11
2023,RWBL,465460,5176940,6/14/2023,4,4,Failed,0,5,5
2023,BOBO,465605,5176389,6/23/2023,12,9,Failed,2,4,5
2023,BWTE,464962,5177162,6/12/2023,19,4,Survive,0,10,10
2023,CCSP,464469,5177159,6/29/2023,2,1,Failed,1,2,2
2023,CCSP,465406,5175976,6/19/2023,6,7,Failed,1,3,4
2023,CCSP,465154,5175661,6/21/2023,10,2,Failed,0,1,4
2023,MODO,464595,5176359,6/6/2023,3,10,Failed,0,2,2
2023,MODO,464191,5176365,6/7/2023,3,3,Failed,0,2,2
2023,MODO,464466,5176396,6/6/2023,3,4,Failed,0,2,2
2023,CCSP,464403,5176541,6/7/2023,5,9,Failed,1,4,4
2023,CCSP,464276,5175960,6/26/2023,8,2,Failed,0,4,4
2023,RWBL,465136,5176785,6/13/2023,2,5,Failed,0,2,1
2023,MODO,464206,5176877,6/28/2023,3,2,Failed,0,2,2
2023,CCSP,464681,5176209,6/25/2023,8,3,Failed,1,4,4
2023,YHBL,464721,5176554,6/9/2023,-7,7,Failed,0,1,0
2023,CCSP,465445,5176063,6/19/2023,2,7,Survive,0,3,3
2023,BWTE,465251,5176491,5/24/2023,2,22,Failed,0,10,11
2023,RWBL,464739,5176914,6/10/2023,-1,6,Failed,0,4,3
2023,BWTE,465116,5176019,5/30/2023,4,20,Survive,0,11,11
2023,AMCO,465545,5176910,5/23/2023,-1,24,Failed,0,8,10
2023,CCSP,464963,5176520,6/5/2023,5,10,Survive,2,3,3
2023,BWTE,465028,5176875,6/22/2023,-2,27,Survive,0,8,6
2023,NSHO,465246,5176845,5/22/2023,-4,11,Failed,0,5,5
2023,BWTE,464843,5176257,6/1/2023,9,15,Survive,0,10,10
2023,STGR,465569,5176285,5/25/2023,0,24,Survive,0,16,16
2023,WILL,465583,5175817,5/29/2023,0,11,Failed,0,4,4
2023,CCLO,465624,5175822,5/29/2023,7,17,Survive,0,3,4
