"Year","Spec","X","Y","FirstFound","AgeFound","Exposure","Fate2","InitBHCO","Clutch","InitClutch","Fate"
2024,"STGR",464351,5176829,"6/27/2024",23,0,"Survive",0,6,6,"Survive"
2024,"STGR",464697,5176140,"6/25/2024",23,0,"Survive",0,5,5,"Survive"
2024,"STGR",464838,5176036,"6/24/2024",23,0,"Survive",0,4,4,"Survive"
2024,"RWBL",464606,5176890,"6/9/2024",NA,0,"Failed",4,0,0,"Failed"
2024,"CCSP",464378,5176971,"6/8/2024",NA,0,"Failed",2,0,0,"Failed"
2024,"WEME",465391,5176745,"5/30/2024",NA,0,"Failed",4,0,0,"Failed"
2024,"CCSP",464902,5176689,"6/10/2024",NA,0,"Failed",0,0,0,"Failed"
2024,"YHBL",464647,5176611,"6/7/2024",NA,0,"Failed",2,0,0,"Failed"
2024,"RWBL",464877,5177160,"6/10/2024",NA,0,"Failed",2,0,0,"Failed"
2024,"CCSP",464474,5176368,"6/26/2024",NA,0,"Failed",2,0,0,"Failed"
2024,"CCSP",464520,5176063,"6/25/2024",NA,0,"Failed",2,0,0,"Failed"
2024,"CCSP",464226,5176867,"6/27/2024",NA,0,"Failed",6,0,0,"Failed"
2024,"CCSP",464336,5176526,"6/26/2024",NA,0,"Failed",0,0,0,"Failed"
2024,"CCSP",464819,5176758,"7/17/2024",-2,12,"Failed",0,3,1,"Failed"
2024,"MODO",464451,5176392,"7/15/2024",4,7,"Failed",0,2,2,"Failed"
2024,"MODO",464369,5176117,"7/12/2024",3,10,"Failed",0,2,2,"Failed"
2024,"GADW",465274,5176953,"7/10/2024",0,23,"Failed",0,5,8,"Failed"
2024,"CCSP",464912,5176984,"7/17/2024",3,12,"Failed",0,3,3,"Failed"
2024,"RWBL",464808,5176545,"7/16/2024",7,15,"Failed",3,3,3,"Failed"
2024,"CCSP",465082,5175648,"7/9/2024",-4,6,"Failed",0,2,0,"Failed"
2024,"GADW",464900,5175904,"7/10/2024",1,26,"Survive",0,8,8,"Survive"
2024,"WEME",464633,5175638,"7/10/2024",1,6,"Failed",0,4,4,"Failed"
2024,"RWBL",465365,5176556,"7/20/2024",8,16,"Survive",0,3,4,"Survive"
2024,"CCSP",465135,5176692,"7/15/2024",4,3,"Failed",1,3,3,"Failed"
2024,"RWBL",464187,5177033,"7/16/2024",4,18,"Survive",0,3,3,"Survive"
