Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Observation Table for January 1 1990 to March 1 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
,deg,deg,ft,,,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,mm,,mm,%,
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Max Temp Flag,Normal Max Temp,Departure from Normal Daily Maximum Air Temperature,Departure from Normal Daily Maximum Air Temperature Flag,Min Temp,Min Temp Flag,Normal Min Temp,Departure from Normal Daily Minimum Air Temperature,Departure from Normal Daily Minimum Air Temperature Flag,Avg Temp,Avg Temp Flag,Normal Avg Temp,Departure from Normal Avg Temp,Rainfall,Rainfall Flag,Normal Daily Total Rainfall,Percent of Normal Rainfall,Percent of Normal Rainfall Flag
Streeter,46.71797,-99.46081,1944,1990,04,24,25.14,,13.322,11.818,,9.91,,0.094,9.816,,17.525,,6.711,10.814,4.851,E,1.27,382,E
Streeter,46.71797,-99.46081,1944,1990,04,25,19.41,,13.556,5.854,,10.07,,0.317,9.753,,14.74,,6.933,7.807,0,E,1.524,174,E
Streeter,46.71797,-99.46081,1944,1990,04,26,13.63,,13.822,-0.192,,0.709,,0.539,0.17,,7.169,,7.178,-0.008,0,E,1.524,112,E
Streeter,46.71797,-99.46081,1944,1990,04,27,-1.455,E,14.044,-15.499,E,-6.223,E,0.761,-6.984,E,-3.839,E,7.406,-11.244,0,,1.524,83,
Streeter,46.71797,-99.46081,1944,1990,04,28,1.676,,14.322,-12.646,,-7.175,E,0.983,-8.158,E,-2.749,E,7.656,-10.405,0,,1.524,66,
Streeter,46.71797,-99.46081,1944,1990,04,29,5.015,,14.544,-9.529,,-3.319,,1.206,-4.524,,0.848,,7.872,-7.024,0.991,,1.778,64,
Streeter,46.71797,-99.46081,1944,1990,04,30,2.22,,14.767,-12.547,,-2.031,E,1.428,-3.458,E,0.095,E,8.1,-8.005,0,,1.524,55,
Streeter,46.71797,-99.46081,1944,1990,05,01,9.56,,15.044,-5.484,,-5.178,E,1.706,-6.883,E,2.191,E,8.378,-6.187,0.991,,1.778,55,
Streeter,46.71797,-99.46081,1944,1990,05,02,15.83,,15.267,0.563,,-0.417,,1.928,-2.345,,7.707,,8.594,-0.888,0,,1.778,48,
Streeter,46.71797,-99.46081,1944,1990,05,03,21.92,,15.489,6.431,,0.421,,2.161,-1.74,,11.171,,8.828,2.343,0,,1.778,43,
Streeter,46.71797,-99.46081,1944,1990,05,04,18.29,,15.711,2.579,,-0.833,,2.428,-3.261,,8.729,,9.072,-0.343,0,,2.032,38,
Streeter,46.71797,-99.46081,1944,1990,05,05,18.05,,15.989,2.061,,1.365,,2.661,-1.296,,9.708,,9.322,0.386,0,,2.032,34,
Streeter,46.71797,-99.46081,1944,1990,05,06,25.04,,16.211,8.829,,1.964,,2.883,-0.919,,13.502,,9.55,3.952,0,,2.032,31,
Streeter,46.71797,-99.46081,1944,1990,05,07,19.65,,16.433,3.217,,8.675,E,3.161,5.514,E,14.163,E,9.794,4.368,0,,2.032,28,
Streeter,46.71797,-99.46081,1944,1990,05,08,17.05,,16.656,0.394,,1.284,,3.394,-2.111,,9.167,,10.028,-0.861,0,,2.032,26,
Streeter,46.71797,-99.46081,1944,1990,05,09,8.02,,16.878,-8.858,,-6.423,E,3.667,-10.089,E,0.799,E,10.272,-9.473,0,,2.286,24,
Streeter,46.71797,-99.46081,1944,1990,05,10,15.4,,17.106,-1.706,,-3.754,E,3.9,-7.654,E,5.823,E,10.506,-4.682,0,,2.032,22,
Streeter,46.71797,-99.46081,1944,1990,05,11,18.14,,17.328,0.812,,0.307,,4.122,-3.815,,9.224,,10.722,-1.498,0,,2.286,21,
Streeter,46.71797,-99.46081,1944,1990,05,12,19.75,,17.55,2.2,,1.241,,4.4,-3.159,,10.496,,10.978,-0.482,0,,2.286,19,
Streeter,46.71797,-99.46081,1944,1990,05,13,19.7,,17.772,1.928,,4.623,,4.633,-0.011,,12.162,,11.206,0.956,0,,2.286,18,
Streeter,46.71797,-99.46081,1944,1990,05,14,17.86,,17.95,-0.09,,1.891,,4.911,-3.02,,9.876,,11.433,-1.558,0,,2.286,17,
Streeter,46.71797,-99.46081,1944,1990,05,15,17.04,,18.161,-1.121,,6.244,,5.139,1.105,,11.642,,11.65,-0.008,2.997,,2.032,24,
Streeter,46.71797,-99.46081,1944,1990,05,16,18.54,,18.383,0.157,,5.583,,5.372,0.211,,12.062,,11.878,0.184,7.01,,2.54,38,
