Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Survive,Fate,FirstFound,Stage,BHCONum,BHCOpres,Clutch,InitClutch,InitBHCO,AgeFound,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Unit,Pasture,Patch,Treatment,pTreat,cTreat,Notes,
2021,BRBL04652525177166,465252,5177166,BRBL,5/27/2021,1,3,Survive,0,5/24/2021,Incubating,6,1,3,3,4,2,0,38,15,0,38,0,0,10,200,1,1,1,1,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BRBL04652525177166,465252,5177166,BRBL,5/31/2021,2,4,Failed,1,5/24/2021,Incubating,6,1,3,3,4,2,0,38,15,0,38,0,0,10,200,1,1,1,1,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/11/2021,1,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/14/2021,2,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/17/2021,3,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/20/2021,4,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/23/2021,5,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BWTE04651115176934,465111,5176934,BWTE,6/26/2021,6,3,Survive,0,6/8/2021,Incubating,0,0,10,10,0,17,15,0,38,0,15,3,38,27,560,3,3,4,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649645176706,464964,5176706,CCSP,6/11/2021,1,4,Survive,0,6/7/2021,Incubating,2,1,1,2,2,6,38,0,38,0,15,0,38,50,490,2,2,4,6,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649645176706,464964,5176706,CCSP,6/14/2021,2,3,Survive,0,6/7/2021,Incubating,2,1,1,2,2,6,38,0,38,0,15,0,38,50,490,2,2,4,6,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649645176706,464964,5176706,CCSP,6/17/2021,3,3,Parasitized,1,6/7/2021,Incubating,2,1,1,2,2,6,38,0,38,0,15,0,38,50,490,2,2,4,6,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649845176786,464984,5176786,CCSP,6/23/2021,1,0,Unknown,,6/21/2021,Laying,1,1,0,0,1,0,15,0,38,0,0,0,63,30,569,5,3,6,6,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649885176704,464988,5176704,CCSP,6/11/2021,1,3,Survive,0,6/7/2021,Incubating,2,1,4,4,1,4,38,0,38,0,15,0,38,85,386,4,2,5,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649885176704,464988,5176704,CCSP,6/14/2021,2,3,Survive,0,6/7/2021,Incubating,2,1,4,4,1,4,38,0,38,0,15,0,38,85,386,4,2,5,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04649885176704,464988,5176704,CCSP,6/17/2021,3,3,Failed,1,6/7/2021,Incubating,2,1,4,4,1,4,38,0,38,0,15,0,38,85,386,4,2,5,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04650155177067,465015,5177067,CCSP,7/8/2021,1,4,Failed,1,7/4/2021,Incubating,2,1,4,4,2,7,38,0,15,0,3,0,63,15,570,3,3,4,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04650755176995,465075,5176995,CCSP,6/23/2021,1,2,Survive,0,6/21/2021,Incubating,0,0,4,4,0,8,15,3,38,0,15,0,38,20,479,5,5,9,3,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04650755176995,465075,5176995,CCSP,6/26/2021,2,3,Failed,1,6/21/2021,Incubating,0,0,4,4,0,8,15,3,38,0,15,0,38,20,479,5,5,9,3,Wagon,1,NE,MTORG,Full,Heavy,,
