Year,id,Spec,DateChecked,Expos,FirstFound,Fate,Fate2,AgeFound,AgeDay1,Stage,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,Treatment,cTreat,pTreat,cDoD,pDoD,grazed,start,end
2021,RWBL04654465176714,RWBL,38,3,35,0,Survive,-4,-143,Incubating,0,0,0,0,2,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,41,3,35,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,44,3,35,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,47,3,35,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,50,3,35,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,53,3,35,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,56,3,35,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04654465176714,RWBL,59,3,35,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,85,15,0,0,0,0,32,590,4.75,3,NE,MTORG,39,49,51.7,60.2,5,194,215
2021,RWBL04655855176955,RWBL,38,3,35,0,Survive,3,-136,Incubating,4,4,1,2,2,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04655855176955,RWBL,41,3,35,0,Survive,3,-136,Incubating,4,4,1,2,2,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
