"","Year","id","X","Y","Spec","Date","Visit.Interval","Expos","Survive","Fate","FirstFound","Stage","BHCONum","BHCOpres","Clutch","InitClutch","InitBHCO","AgeFound","KBG","Smooth.Brome","Litter","Bare","Forb","Grasslike","Woody","Litter.Depth","Veg.Height","R1","R2","R3","R4","Unit","Pasture","Patch","Treatment","pTreat","cTreat","Notes","aRobel","Group"
"1",2022,"AMCO04652305176896",465230,5176896,"AMCO",165,1,3,"Survive",0,"6/10/2022","Incubating",0,0,"10","10",0,"19",0,0,15,15,0,38,0,"WATER","1690",6,6,13,14,"Wagon",2,"NE","MTORG","Full","Heavy","Water Depth = 1650",9.75,"WET"
"2",2022,"AMCO04652305176896",465230,5176896,"AMCO",167,2,2,"Survive",0,"6/10/2022","Incubating",0,0,"10","10",0,"19",0,0,15,15,0,38,0,"WATER","1690",6,6,13,14,"Wagon",2,"NE","MTORG","Full","Heavy","Water Depth = 1650",9.75,"WET"
"3",2022,"AMCO04652305176896",465230,5176896,"AMCO",169,3,2,"Survive",0,"6/10/2022","Incubating",0,0,"10","10",0,"19",0,0,15,15,0,38,0,"WATER","1690",6,6,13,14,"Wagon",2,"NE","MTORG","Full","Heavy","Water Depth = 1650",9.75,"WET"
"4",2022,"AMCO04655255176959",465525,5176959,"AMCO",173,1,4,"Failed",1,"6/17/2022","Incubating",0,0,"8","8",0,"10",0,0,15,15,3,63,0,"WATER","1170",18,22,18,22,"Wagon",3,"NE","MTORG","Moderate","Full","R2 AND R4 ESTIMATES (18+)",20,"WET"
"5",2022,"AMCO04647365176580",464736,5176580,"AMCO",205,1,0,"Survive",0,"7/23/2022","Nestling",0,0,"11","11",0,"22",0,0,0,15,0,85,0,"WATER","1700",20,22,22,19,"Wagon",14,"NW","MTORG","Moderate","Full","",20.75,"WET"
"6",2022,"AMCO04646675176640",464667,5176640,"AMCO",161,1,3,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"7",2022,"AMCO04646675176640",464667,5176640,"AMCO",164,2,3,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"8",2022,"AMCO04646675176640",464667,5176640,"AMCO",168,3,4,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"9",2022,"AMCO04646675176640",464667,5176640,"AMCO",171,4,3,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"10",2022,"AMCO04646675176640",464667,5176640,"AMCO",174,5,3,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"11",2022,"AMCO04646675176640",464667,5176640,"AMCO",177,6,3,"Survive",0,"6/6/2022","Incubating",0,0,"9","6",0,"-3",0,0,0,15,0,85,0,"WATER","660",7,7,7,8,"Wagon",14,"NW","MTORG","Moderate","Full","",7.25,"WET"
"12",2022,"AMCO04646995176568",464699,5176568,"AMCO",161,1,3,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"13",2022,"AMCO04646995176568",464699,5176568,"AMCO",164,2,3,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"14",2022,"AMCO04646995176568",464699,5176568,"AMCO",168,3,4,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"15",2022,"AMCO04646995176568",464699,5176568,"AMCO",171,4,3,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"16",2022,"AMCO04646995176568",464699,5176568,"AMCO",174,5,3,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"17",2022,"AMCO04646995176568",464699,5176568,"AMCO",177,6,3,"Survive",0,"6/6/2022","Incubating",0,0,"12","11",0,"-1",0,0,0,63,0,38,0,"WATER","1410",17,17,17,17,"Wagon",14,"NW","MTORG","Moderate","Full","*ROBEL IS AN ESTIMATE (13+)",17,"WET"
"18",2021,"AMWI04652535175841",465253,5175841,"AMWI",177,1,1,"Survive",0,"6/25/2021","Nestling",0,0,"6","6",0,"25",38,0,15,0,15,0,38,"34","751",4,5,6,6,"Wagon",7,"SE","MTORG","Rest","Moderate","what to put for exposure days",5.25,"FAC"
"19",2021,"AMWI04648305176295",464830,5176295,"AMWI",182,1,3,"Survive",0,"6/27/2021","Incubating",0,0,"10","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"20",2021,"AMWI04648305176295",464830,5176295,"AMWI",185,2,3,"Survive",0,"6/27/2021","Incubating",0,0,"10","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"21",2021,"AMWI04648305176295",464830,5176295,"AMWI",188,3,3,"Survive",0,"6/27/2021","Incubating",0,0,"10","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"22",2021,"AMWI04648305176295",464830,5176295,"AMWI",191,4,3,"Survive",0,"6/27/2021","Incubating",0,0,"10","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"23",2021,"AMWI04648305176295",464830,5176295,"AMWI",194,5,3,"Survive",0,"6/27/2021","Incubating",0,0,"10","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"24",2021,"AMWI04648305176295",464830,5176295,"AMWI",197,6,3,"Survive",0,"6/27/2021","Incubating",0,0,"9","10",0,"8",38,38,3,0,3,0,15,"28","645",2,6,2,2,"Wagon",10,"SW","MTORG","Rest","Moderate","",3,"FAC"
"25",2021,"AMWI04643395176168",464339,5176168,"AMWI",171,1,2,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"26",2021,"AMWI04643395176168",464339,5176168,"AMWI",174,2,3,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"27",2021,"AMWI04643395176168",464339,5176168,"AMWI",177,3,3,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"28",2021,"AMWI04643395176168",464339,5176168,"AMWI",180,4,3,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"29",2021,"AMWI04643395176168",464339,5176168,"AMWI",183,5,3,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
