Year,id,Spec,FirstFound,LastPresent,LastChecked,Fate,Freq,Expos,AgeFound,AgeDay1,Stage,Nestling,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,cTreat,pTreat,cDoD,pDoD,grazed,grazep,start,end
2021,AMWI04643395176168,AMWI,14,31,34,1,1,20,2,-11,Incubating,0,0,0,0,8,8,NA,12.396694214876034,12.396694214876034,31.40495867768595,0,12.396694214876034,0,31.40495867768595,10,865,12.5,12,SW,68,0,76.3,0,7,1,144,172
2021,AMWI04648305176295,AMWI,24,42,42,0,1,18,18,-5,Incubating,0,0,0,0,10,10,NA,39.175257731958766,39.175257731958766,3.0927835051546393,0,3.0927835051546393,0,15.463917525773196,28,645,3,10,SW,39,49,51.7,60.2,3,1,194,215
2023,AMWI04657315176603,AMWI,12,29,29,0,1,17,10,-1,Incubating,0,0,0,0,9,9,NA,8.620689655172415,36.206896551724135,36.206896551724135,0,8.620689655172415,8.620689655172415,1.7241379310344827,42,1133,5,4,NE,49,68,NA,65.3,6,1,178,201
2024,AMWI04642085176674,AMWI,25,33,33,0,1,8,19,-5,Incubating,0,0,0,0,10,10,NA,23.507462686567166,14.17910447761194,36.56716417910448,0,1.1194029850746268,1.1194029850746268,23.507462686567166,60,1020,7,13,NW,39,49,NA,NA,NA,NA,NA,NA
2024,AMWI04643635176216,AMWI,1,31,31,0,1,30,-3,-3,Incubating,0,0,0,0,5,8,NA,36.016949152542374,0,41.52542372881356,0,6.3559322033898304,0,16.101694915254235,65,830,6.75,12,SW,49,68,NA,NA,NA,NA,NA,NA
2024,AMWI04655665176007,AMWI,34,46,48,1,1,14,-4,-37,Incubating,0,0,0,0,4,8,NA,25.71428571428571,6.122448979591836,40,0,1.2244897959183674,1.2244897959183674,25.71428571428571,65,840,6.25,6,SE,39,49,NA,NA,NA,NA,NA,NA
2021,BOBO04642455176833,BOBO,10,16,19,1,1,9,5,-4,Incubating,0,0,0,0,5,5,NA,44.18604651162791,17.441860465116278,17.441860465116278,0,17.441860465116278,0,3.488372093023256,21,495,4.5,14,NW,39,49,51.7,60.2,0,0,194,215
2021,BOBO04643905176752,BOBO,7,7,10,1,1,3,3,-3,Incubating,0,1,1,1,3,3,NA,72.03389830508475,0,12.711864406779661,0,12.711864406779661,0,2.5423728813559325,40,505,4.5,14,NW,39,49,51.7,60.2,0,0,194,215
2021,BOBO04650355175938,BOBO,29,36,39,1,1,10,6,-22,Nestling,1,3,3,1,2,2,NA,2.4,12,2.4,0,50.4,30.4,2.4,45,570,4.25,8,SE,0,39,0,33.7,0,0,NA,NA
2021,BOBO04651465176655,BOBO,20,20,24,1,1,4,6,-13,Incubating,0,1,1,1,1,1,NA,39.175257731958766,3.0927835051546393,39.175257731958766,0,3.0927835051546393,0,15.463917525773196,34,535,5.5,2,NE,49,68,52.3,60.6,11,1,172,194
2021,BOBO04651575176565,BOBO,1,17,17,0,1,16,8,8,Nestling,1,3,3,1,4,4,NA,31.40495867768595,31.40495867768595,12.396694214876034,0,12.396694214876034,0,12.396694214876034,28,650,5.75,3,NE,39,49,51.7,60.2,0,0,194,215
2021,BOBO04652165176747,BOBO,13,27,27,0,1,14,7,-5,Nestling,1,8,6,1,2,2,NA,32.47863247863248,0,32.47863247863248,0,2.564102564102564,0,32.47863247863248,20,540,5.5,2,NE,49,68,52.3,60.6,16,1,172,194
2021,BOBO04656965177119,BOBO,13,17,20,1,1,7,8,-4,Nestling,1,1,2,1,3,1,NA,58.87850467289719,35.51401869158878,2.803738317757009,0,0,0,2.803738317757009,35,710,5.25,3,NE,39,49,51.7,60.2,0,0,194,215
2022,BOBO04643265175917,BOBO,21,21,22,1,1,1,0,-20,Incubating,0,0,0,0,2,2,NA,50,6.578947368421052,3.9473684210526314,0,19.736842105263158,0,19.736842105263158,20,750,9,11,SW,39,49,35.2,52.3,0,0,202,213
2022,BOBO04643455176811,BOBO,18,36,36,0,1,18,3,-14,Nestling,1,0,0,0,4,4,NA,72.03389830508475,0,12.711864406779661,0,2.5423728813559325,0,12.711864406779661,10,610,6.25,14,NW,49,68,45.3,76.3,18,1,179,202
2022,BOBO04643995176261,BOBO,22,22,25,1,1,3,0,-21,Incubating,0,0,0,0,2,2,NA,45.78313253012048,0,18.072289156626507,0,18.072289156626507,0,18.072289156626507,80,910,9.75,12,SW,0,39,0,51.7,0,0,NA,NA
2023,BOBO04653085177030,BOBO,4,20,23,1,1,19,3,0,Nestling,1,0,1,1,4,4,NA,23.89937106918239,9.433962264150944,23.89937106918239,9.433962264150944,23.89937106918239,0,9.433962264150944,3,758,4.5,2,NE,0,39,0,35.2,0,0,NA,NA
2023,BOBO04656055176389,BOBO,14,20,23,1,1,9,12,-1,Nestling,1,2,1,1,5,5,NA,25,15.079365079365079,38.88888888888889,0,5.952380952380952,0,15.079365079365079,14,770,5.25,5,SE,39,49,NA,45.3,0,0,201,212
2024,BOBO04647845175938,BOBO,35,44,46,1,1,11,8,-26,Nestling,1,0,0,0,3,2,NA,24.355300859598856,18.05157593123209,28.08022922636103,0,24.355300859598856,0.8595988538681949,4.297994269340974,54,608,4.75,9,SE,39,49,NA,NA,NA,NA,NA,NA
2021,BRBL04641855175766,BRBL,37,42,45,1,1,8,3,-33,Incubating,0,3,3,1,3,3,NA,15.306122448979592,15.306122448979592,15.306122448979592,0,15.306122448979592,0,38.775510204081634,14,465,5.75,11,SW,0,39,0,33.7,0,0,NA,NA
2021,BRBL04646355176267,BRBL,20,20,22,1,1,2,2,-17,Incubating,0,5,4,1,1,1,NA,38.775510204081634,0,15.306122448979592,0,15.306122448979592,15.306122448979592,15.306122448979592,5,340,2,11,SW,0,39,0,33.7,0,0,NA,NA
2021,BRBL04646635176655,BRBL,14,24,27,1,1,13,1,-12,Incubating,0,1,1,1,4,4,NA,35.51401869158878,0,0,0,2.803738317757009,58.87850467289719,2.803738317757009,37,490,5.25,14,NW,39,49,51.7,60.2,0,0,194,215
2021,BRBL04648985176576,BRBL,30,45,45,0,1,15,10,-19,Nestling,1,2,2,1,5,4,NA,37.62376237623762,14.85148514851485,14.85148514851485,2.9702970297029703,14.85148514851485,0,14.85148514851485,10,633,5.5,15,NW,0,39,0,33.7,0,0,NA,NA
2021,BRBL04649085176549,BRBL,14,39,39,0,1,25,0,-13,Nestling,1,3,5,1,2,2,NA,12.605042016806722,31.932773109243694,2.5210084033613445,0,52.94117647058824,0,0,39,710,5.75,15,NW,0,39,0,33.7,0,0,NA,NA
