simpson,Treat,Paddock,Year
0.6390532544378698,Heavy,1,2021
0.7069387755102041,Full,2,2021
0.7868480725623583,Moderate,3,2021
0.72,Rest,4,2021
0.36111111111111116,Heavy,5,2021
0.6352040816326531,Full,6,2021
0.7361111111111112,Moderate,7,2021
0.6112,Rest,8,2021
0.3413111342351718,Full,9,2021
0.5013774104683195,Moderate,10,2021
0.6484375,Rest,11,2021
0.5537190082644629,Heavy,12,2021
0.7189349112426036,Full,13,2021
0.6781677572873289,Moderate,14,2021
0.532871972318339,Rest,15,2021
0.6122448979591837,Heavy,16,2021
0.7107438016528925,Rest,1,2022
0.8472222222222222,Heavy,2,2022
0.7895362663495838,Full,3,2022
0.8223140495867769,Moderate,4,2022
0.8429752066115702,Rest,5,2022
0.650887573964497,Heavy,6,2022
0.6790123456790124,Full,7,2022
0.8367346938775511,Moderate,8,2022
0.5215419501133787,Heavy,9,2022
0.7587113740959894,Full,10,2022
0.7434842249657065,Moderate,11,2022
0.8350459707950243,Rest,12,2022
0.7058823529411764,Heavy,13,2022
0.8040123456790124,Full,14,2022
0.844735276621059,Moderate,15,2022
0.8027210884353742,Rest,16,2022
0.8305785123966942,Moderate,1,2023
0.8620037807183365,Rest,2,2023
0.5185185185185186,Heavy,3,2023
0.859375,Full,4,2023
0.86,Moderate,5,2023
0.8099173553719008,Rest,6,2023
0.6446280991735538,Heavy,7,2023
0.7395833333333334,Full,8,2023
0.724609375,Rest,9,2023
0.7098765432098766,Heavy,10,2023
0.4800000000000001,Full,11,2023
0.7523739956172388,Moderate,12,2023
0.7421875,Rest,13,2023
0.75,Heavy,14,2023
0.7465277777777777,Full,15,2023
0.8209876543209876,Moderate,16,2023
