simpson,Treat,Paddock,Year
0.7107438016528925,Rest,1,2022
0.8472222222222222,Heavy,2,2022
0.7895362663495838,Full,3,2022
0.8223140495867769,Moderate,4,2022
0.8429752066115702,Rest,5,2022
0.650887573964497,Heavy,6,2022
0.6790123456790124,Full,7,2022
0.8367346938775511,Moderate,8,2022
0.5215419501133787,Heavy,9,2022
0.7587113740959894,Full,10,2022
0.7434842249657065,Moderate,11,2022
0.8350459707950243,Rest,12,2022
0.7058823529411764,Heavy,13,2022
0.8040123456790124,Full,14,2022
0.844735276621059,Moderate,15,2022
0.8027210884353742,Rest,16,2022
