"","Heavy","Full","Moderate","Rest","SpecTotals","Group"
"AMCO",1,4,0,0,5,"GEN"
"AMWI",1,1,2,0,4,"FAC"
"BOBO",0,3,5,2,10,"OBL"
"BRBL",2,8,15,9,34,"FAC"
"BWTE",12,22,19,16,69,"FAC"
"CCLO",2,1,4,0,7,"OBL"
"CCSP",78,113,124,55,370,"FAC"
"COGR",0,0,1,0,1,"GEN"
"DICK",0,3,4,4,11,"OBL"
"EAKI",0,2,3,3,8,"FAC"
"GADW",8,14,17,10,49,"FAC"
"GRSP",5,2,3,2,12,"OBL"
"GWTE",1,0,1,0,2,"FAC"
"KILL",1,0,0,1,2,"GEN"
"MALL",3,5,11,1,20,"FAC"
"MAWR",0,1,0,0,1,"GEN"
"MODO",10,6,10,11,37,"FAC"
"NOPI",5,10,22,12,49,"FAC"
"NSHO",1,10,10,1,22,"FAC"
"PBGR",0,2,0,0,2,"GEN"
"RWBL",3,30,28,17,78,"FAC"
"SAVS",1,1,0,1,3,"OBL"
"SORA",0,1,0,0,1,"GEN"
"STGR",1,3,1,0,5,"OBL"
"UPSA",0,0,1,2,3,"OBL"
"WEME",8,11,14,16,49,"OBL"
"WILL",0,0,1,0,1,"FAC"
"WIPH",1,3,0,1,5,"GEN"
"WISN",0,1,0,0,1,"GEN"
"YHBL",1,0,1,0,2,"GEN"
"Totals",145,257,297,164,863,NA
