"","X","id","Spec","FirstFound","LastPresent","LastChecked","Fate","Freq","AgeFound","Expos","BHCONum","Year","Stage","BHCOpres","Clutch","InitClutch","InitBHCO","KBG","SmoothB","Litter","Bare","Forb","Grasslike","Woody","LitterD","Veg.Height","Pasture","Patch","pTreat","cTreat","VOR","AgeDay1","Julian","TotalVegCover","tall.veg","sparse.grass"
"1",1123,"WEME04642215176060","WEME",23,46,46,0,1,-1,26,2,2021,"Incubating",1,4,3,1,45.7831325301205,18.0722891566265,18.0722891566265,0,0,0,18.0722891566265,25,510,11,"SW","Heavy",0,4,-23,39,100,-0.403706896414168,-0.852469182333292
"2",2119,"WEME04645185176449","WEME",58,70,70,0,1,10,14,0,2022,"Incubating",0,3,3,0,80.188679245283,0,14.1509433962264,0,2.83018867924528,2.83018867924528,0,15,645,13,"NW","Full",68,3.75,-47,63,100,-0.441955220474999,-0.829409212301115
"3",379,"WEME04645555175689","WEME",6,15,15,0,1,14,12,1,2021,"Nestling",1,3,3,1,77.9816513761468,0,13.7614678899083,0,2.75229357798165,2.75229357798165,2.75229357798165,35,455,10,"SW","Rest",39,4,9,7,100,-0.952979505900359,-1.35543403484817
"4",428,"WEME04645575176340","WEME",8,34,34,0,1,-4,29,0,2022,"Laying",0,4,1,0,60.5769230769231,0,2.88461538461538,0,36.5384615384615,0,0,15,230,12,"SW","Heavy",0,8,-11,27,100,-0.126101393605581,-0.104338805781992
"5",526,"WEME04646585176442","WEME",37,37,37,0,1,22,3,0,2022,"Nestling",0,1,1,0,5.08474576271187,25.4237288135593,5.08474576271187,0,0,0,64.4067796610169,55,710,13,"NW","Full",68,3.5,-14,30,99.9999999999999,1.43971753345905,-0.738382071476414
"6",623,"WEME04646885176837","WEME",13,22,22,0,1,14,12,1,2022,"Nestling",1,3,3,1,3.8961038961039,49.3506493506493,3.8961038961039,0,3.8961038961039,19.4805194805195,19.4805194805195,75,640,15,"NW","Rest",39,7.75,2,14,100,1.07541611499906,0.0157859928500913
"7",723,"WEME04648605176568","WEME",41,43,43,0,1,21,4,1,2022,"Nestling",1,4,4,1,4.54545454545455,22.7272727272727,4.54545454545455,0,22.7272727272727,22.7272727272727,22.7272727272727,30,820,15,"NW","Rest",39,8.75,-19,35,99.9999999999999,1.93253648577311,1.75220784156072
"8",822,"WEME04649475176527","WEME",43,60,60,0,1,8,19,3,2022,"Incubating",1,4,3,4,23.8095238095238,23.8095238095238,4.76190476190476,0,23.8095238095238,0,23.8095238095238,10,780,16,"NW","Heavy",0,15,-34,50,100,3.47047428869659,1.32179676966763
"9",920,"WEME04649615175909","WEME",53,62,62,0,1,13,12,0,2022,"Nestling",0,1,2,0,15.625,0,15.625,0,65.625,3.125,0,65,940,8,"SE","Rest",39,5.25,-39,55,100,0.912678851109141,1.4376099253133
"10",1019,"WEME04651185175866","WEME",30,50,50,0,1,5,22,0,2022,"Incubating",0,4,4,0,35.8490566037736,0,14.1509433962264,0,14.1509433962264,0,35.8490566037736,30,700,8,"SE","Rest",39,8,-24,40,100,1.41886341891612,0.112268585348052
"11",1124,"WEME04652825176001","WEME",31,53,53,0,1,3,25,1,2021,"Incubating",1,4,3,1,54.3103448275862,0,32.7586206896552,0,12.9310344827586,0,0,45,65,7,"SE","Rest",39,2.75,-27,43,100,-2.95644593064225,-1.38522765689608
