cTreat,BWTE,CCSP,GADW,KILL,RWBL,WIPH,AMCO,GRSP,GWTE,NOPI,NSHO,STGR,WEME,YHBL,PBGR,BRBL,UPSA,CCLO,COGR,EAKI,MALL,SAVS,DICK,SORA,BOBO,MODO,MAWR
Rest,4,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavy,6,5,3,0,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,7,6,5,0,8,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moderate,2,7,4,0,1,0,0,0,1,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Rest,4,4,2,0,3,0,0,1,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Heavy,1,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Full,0,9,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Moderate,2,9,1,0,2,0,0,1,1,0,2,0,5,0,0,1,0,0,1,1,2,0,0,0,0,0,0
Heavy,2,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Full,5,17,2,0,5,0,0,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,3,1,0,0,0
Moderate,5,12,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0
Rest,4,11,2,0,6,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,10,0
Heavy,2,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Full,7,9,3,0,10,0,3,0,0,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1
Moderate,5,12,5,0,6,0,0,0,0,2,4,0,2,0,0,1,0,0,0,0,1,0,1,0,0,2,0
Rest,3,0,1,0,7,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
