cTreat,BRBL,BWTE,CCSP,GADW,MALL,NOPI,NSHO,RWBL,SORA,AMCO,BOBO,EAKI,PBGR,WEME,WISN,YHBL,GWTE,AMWI,LESC,STGR,CCLO,WILL,GRSP,KILL,MODO,UPSA,MAWR,AMBI
Moderate,1,5,5,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest,0,3,3,4,0,1,1,4,0,1,1,2,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Heavy,1,3,0,0,1,0,0,12,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Full,0,3,3,1,1,1,0,2,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Moderate,2,4,8,4,3,3,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rest,2,2,8,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Heavy,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Full,1,3,11,1,1,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest,0,3,15,2,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Heavy,0,4,7,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
Moderate,0,1,16,1,4,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,7,1,0,0
Rest,0,2,7,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Heavy,0,1,7,2,0,1,0,2,0,5,0,0,1,1,1,11,0,0,0,0,0,0,0,0,2,0,1,0
Full,0,3,10,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Moderate,2,2,4,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
