"","Paddock","cTreat","STGR","UPSA","SAVS","GRSP","CCLO","DICK","BOBO","WEME","GADW","AMWI","MALL","BWTE","NSHO","NOPI","WILL","MODO","EAKI","CCSP","RWBL","BRBL","KILL"
"1","1","Heavy",0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,7,0,1,0
"2","2","Full",1,0,0,0,0,0,2,1,1,0,0,2,1,3,0,0,2,18,3,1,0
"3","3","Moderate",0,0,0,0,0,0,2,0,1,0,2,1,0,11,1,1,0,11,11,1,0
"4","4","Rest",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
"5","5","Heavy",0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,19,0,1,0
"6","6","Full",0,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,0,16,1,4,0
"7","7","Moderate",0,0,0,1,4,0,0,4,3,1,3,0,0,3,0,0,1,23,1,4,0
"8","8","Rest",0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,2,15,0,2,0
"9","9","Full",0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,25,0,0,0
"10","10","Moderate",1,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,23,0,2,0
"11","11","Rest",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,9,0,2,0
"12","12","Heavy",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,14,0,0,1
"13","13","Full",1,0,0,0,0,0,0,0,1,1,2,1,0,1,0,6,0,12,1,0,0
"14","14","Moderate",0,0,0,0,0,2,2,0,1,0,1,2,1,0,0,4,0,22,5,1,0
"15","15","Rest",0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,2,0
"16","16","Heavy",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0
