"","Paddock","cTreat","STGR","UPSA","GRSP","CCLO","BOBO","WEME","GADW","AMWI","MALL","BWTE","NSHO","NOPI","GWTE","WILL","MODO","EAKI","CCSP","RWBL","BRBL","KILL","AMBI","LESC"
"1","1","Moderate",0,0,0,0,0,0,4,0,1,5,2,3,0,0,0,0,5,1,1,0,0,0
"2","2","Rest",0,0,0,0,1,4,4,0,0,3,1,1,0,0,0,2,3,4,0,0,0,0
"3","3","Heavy",0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,12,1,0,0,0
"4","4","Full",0,0,0,0,0,3,1,1,1,3,0,1,0,0,0,0,3,2,0,0,0,1
"5","5","Moderate",1,0,0,0,1,2,4,0,3,4,0,3,0,0,0,1,8,1,2,0,0,0
"6","6","Rest",0,0,0,3,0,2,0,0,0,2,1,0,0,1,0,1,8,2,2,0,0,0
"7","7","Heavy",0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0
"8","8","Full",0,0,0,0,0,3,1,0,1,3,0,0,0,0,0,2,11,2,1,0,0,0
"9","9","Rest",0,0,0,1,0,5,2,0,0,3,0,0,0,1,0,0,15,4,0,1,0,0
"10","10","Heavy",0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,7,5,0,0,0,0
"11","11","Full",1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,14,0,0,0,0,0
"12","12","Moderate",1,1,0,0,0,2,1,0,4,1,0,0,1,0,7,0,16,3,0,0,0,0
"13","13","Rest",0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,0,7,3,0,0,0,0
"14","14","Heavy",0,0,0,0,0,1,2,0,0,1,0,1,0,0,2,0,7,2,0,0,0,0
"15","15","Full",0,0,0,0,0,4,4,0,0,3,0,0,0,0,1,0,10,2,0,0,0,0
"16","16","Moderate",0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,4,1,2,0,4,0
