"","Paddock","cTreat","BOBO","STGR","WEME","UPSA","SAVS","CCLO","GRSP","DICK","BRBL","BWTE","CCSP","GADW","NOPI","EAKI","NSHO","RWBL","MALL","MODO","WILL","AMWI","KILL"
"1","2","Full",2,1,1,0,0,0,0,0,1,2,18,1,3,2,1,3,0,0,0,0,0
"2","3","Moderate",2,0,0,0,0,0,0,0,1,1,11,1,11,0,0,11,2,1,1,0,0
"3","4","Rest",0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"4","5","Heavy",0,0,2,0,0,0,0,0,1,1,19,0,0,0,0,0,1,0,0,0,0
"5","6","Full",0,0,3,0,1,0,0,0,4,1,16,1,0,0,1,1,0,0,0,0,0
"6","7","Moderate",0,0,4,0,0,4,1,0,4,0,23,3,3,1,0,1,3,0,0,1,0
"7","8","Rest",1,0,2,0,0,0,0,0,2,0,15,2,1,2,0,0,0,0,0,0,0
"8","9","Full",0,0,2,0,0,0,1,0,0,0,25,1,0,0,1,0,1,0,0,0,0
"9","10","Moderate",0,1,2,0,0,0,0,0,2,1,23,0,0,1,1,0,1,0,0,1,0
"10","11","Rest",0,0,1,0,0,0,1,0,2,0,10,0,2,1,0,0,0,1,0,0,0
"11","13","Full",0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,1,2,6,0,1,0
"12","14","Moderate",2,0,0,0,0,0,0,2,1,2,3,1,0,0,1,5,1,4,0,0,0
"13","15","Rest",0,0,3,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
"14","16","Heavy",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"15","1","Heavy",0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,0,0,0,0,0,0
"16","12","Heavy",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,1
