"","Pasture","cTreat","GRSP","STGR","WEME","UPSA","CCLO","SAVS","DICK","BOBO","BWTE","CCSP","GADW","KILL","RWBL","GWTE","NOPI","NSHO","BRBL","COGR","EAKI","MALL","MODO"
"1","2","Heavy",1,1,1,0,0,0,0,0,5,5,4,0,3,1,2,1,0,0,0,0,0
"2","3","Full",0,1,1,0,0,0,0,0,6,7,5,0,8,0,0,1,1,0,0,0,0
"3","4","Moderate",0,0,0,1,0,0,0,0,2,8,4,0,1,1,3,1,1,0,0,0,0
"4","5","Rest",1,0,5,0,0,0,0,0,4,4,2,0,3,0,2,0,1,0,0,0,0
"5","6","Heavy",1,0,1,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
"6","7","Full",1,0,2,0,1,0,0,0,0,9,0,0,1,0,4,0,0,0,0,0,0
"7","8","Moderate",1,0,5,0,0,0,0,0,3,9,0,0,2,0,1,2,1,1,1,2,0
"8","9","Heavy",3,0,0,0,0,1,0,0,2,14,0,0,0,0,0,0,0,0,0,1,0
"9","10","Full",0,0,2,0,0,0,3,0,5,17,2,0,5,0,1,3,1,0,0,0,0
"10","11","Moderate",1,0,0,0,0,0,1,1,5,11,3,0,0,0,1,1,0,0,0,1,3
"11","12","Rest",0,0,1,1,0,0,3,1,4,11,1,0,6,0,4,0,0,0,0,0,10
"12","13","Heavy",0,0,3,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,6
"13","14","Full",0,0,0,0,0,0,0,1,7,8,3,0,11,0,1,3,0,0,0,2,0
"14","15","Moderate",0,0,2,0,0,0,1,0,5,12,5,0,6,0,2,4,1,0,0,1,2
"15","16","Rest",0,0,4,0,0,0,1,0,3,0,1,0,7,0,4,1,0,0,0,1,0
"16","1","Rest",0,0,0,0,0,0,0,0,4,1,4,1,1,0,0,0,0,0,0,0,0
