"","Paddock","cTreat","BOBO","WEME","STGR","CCLO","GRSP","UPSA","BRBL","BWTE","CCSP","GADW","MALL","NOPI","NSHO","RWBL","EAKI","GWTE","AMWI","LESC","WILL","KILL","MODO","AMBI"
"1","2","Full",1,4,0,0,0,0,0,3,3,4,0,1,1,4,2,0,0,0,0,0,0,0
"2","4","Rest",0,3,0,0,0,0,0,3,3,1,1,1,0,2,0,0,1,1,0,0,0,0
"3","5","Heavy",1,2,1,0,0,0,2,4,8,4,3,3,0,1,1,0,0,0,0,0,0,0
"4","6","Full",0,2,0,3,0,0,2,2,8,0,0,0,1,2,1,0,0,0,1,0,0,0
"5","7","Moderate",0,0,0,1,1,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","8","Rest",0,3,0,0,0,0,1,3,11,1,1,0,0,2,2,0,0,0,0,0,0,0
"7","9","Full",0,5,0,1,0,0,0,3,15,2,0,0,0,4,0,0,0,0,1,1,0,0
"8","10","Moderate",0,2,0,0,0,0,0,4,7,0,0,0,0,5,0,0,0,0,0,0,0,0
"9","11","Rest",0,0,1,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0,3,0
"10","12","Heavy",0,2,1,0,0,1,0,1,16,1,4,0,0,3,0,1,0,0,0,0,7,0
"11","14","Heavy",0,1,0,0,0,0,0,1,7,2,0,1,0,2,0,0,0,0,0,0,2,0
"12","15","Full",0,4,0,0,0,0,0,3,10,4,0,0,0,2,0,0,0,0,0,0,1,0
"13","1","Heavy",0,0,0,0,0,0,1,5,5,4,1,3,2,1,0,0,0,0,0,0,0,0
"14","3","Moderate",0,0,0,0,0,0,1,3,0,0,1,0,0,12,0,1,0,0,0,0,0,0
"15","13","Rest",0,0,0,0,0,0,0,2,7,1,0,1,0,3,0,1,0,0,1,0,0,0
"16","16","Moderate",0,0,0,0,0,0,2,2,4,4,0,1,0,1,0,0,0,0,0,0,0,4
