shannon,Treat,Paddock,Year
1.2636256721237273,Heavy,1,2021
1.761712391275148,Full,2,2021
1.787595029602749,Moderate,3,2021
1.3321790402101223,Rest,4,2021
0.7892773734611849,Heavy,5,2021
1.432117586378047,Full,6,2021
1.8162133047032634,Moderate,7,2021
1.3722386064276924,Rest,8,2021
0.793400430845633,Full,9,2021
1.227145267872231,Moderate,10,2021
1.4500064999181645,Rest,11,2021
1.1595888143086257,Heavy,12,2021
1.6444145774851657,Full,13,2021
1.6220066017313155,Moderate,14,2021
1.006214565944081,Rest,15,2021
1.1537419427010902,Heavy,16,2021
1.3896811919839047,Rest,1,2022
2.0623990607368046,Heavy,2,2022
1.6757561832842427,Full,3,2022
1.9439981771714585,Moderate,4,2022
1.9453165424776917,Rest,5,2022
1.303875529336385,Heavy,6,2022
1.4066777022503076,Full,7,2022
2.140512074365345,Moderate,8,2022
1.0621922547835259,Heavy,9,2022
1.7757855326028487,Full,10,2022
1.7199775850135615,Moderate,11,2022
1.9954851886662552,Rest,12,2022
1.2930224700643995,Heavy,13,2022
1.7946241811649384,Full,14,2022
2.0948433773139525,Moderate,15,2022
1.8179404272531652,Rest,16,2022
1.8946020989971892,Moderate,1,2023
2.0653420234697046,Rest,2,2023
1.0506652765928128,Heavy,3,2023
2.0679759122939765,Full,4,2023
2.1648590591072803,Moderate,5,2023
1.9330176059072897,Rest,6,2023
1.294545165844896,Heavy,7,2023
1.688840894721674,Full,8,2023
1.6252593012276193,Rest,9,2023
1.3014810683874343,Heavy,10,2023
0.9836002995230935,Full,11,2023
1.7674017161353737,Moderate,12,2023
1.6286198303328179,Rest,13,2023
1.661322839318102,Heavy,14,2023
1.561456453430287,Full,15,2023
1.812142810358472,Moderate,16,2023
