Rest,Moderate,Full,Heavy,SpecTotals,Group
0,4,0,0,4,FAC
1,2,4,11,18,WET
0,2,2,1,5,FAC
3,6,3,0,12,OBL
11,17,7,3,38,FAC
26,30,33,23,112,FAC
4,4,1,3,12,OBL
85,152,150,96,483,FAC
0,1,0,0,1,FAC
4,4,3,0,11,OBL
6,4,4,0,14,FAC
18,30,21,9,78,FAC
2,2,2,6,12,OBL
1,3,0,2,6,FAC
2,0,0,1,3,FAC
0,0,1,0,1,FAC
1,19,7,4,31,FAC
0,0,1,1,2,WET
11,17,10,12,50,FAC
14,27,11,7,59,FAC
3,12,10,1,26,FAC
1,0,2,2,5,WET
30,32,35,22,119,FAC
1,0,1,1,3,OBL
1,1,2,2,6,WET
0,3,4,1,8,OBL
2,2,0,0,4,OBL
26,17,21,12,76,OBL
3,1,0,0,4,FAC
1,0,3,1,5,WET
1,0,1,1,3,WET
5,1,0,12,18,WET
263,393,339,234,1229,NA
