Paddock,Spec,cTreat,Group,Abundance
1,BWTE,Rest,FAC,4
1,CCSP,Rest,FAC,1
1,GADW,Rest,FAC,4
1,KILL,Rest,FAC,1
1,RWBL,Rest,FAC,1
1,WIPH,Rest,WET,1
2,AMCO,Heavy,WET,1
2,BWTE,Heavy,FAC,6
2,CCSP,Heavy,FAC,5
2,GADW,Heavy,FAC,3
2,GRSP,Heavy,OBL,1
2,GWTE,Heavy,FAC,1
2,NOPI,Heavy,FAC,2
2,NSHO,Heavy,FAC,1
2,RWBL,Heavy,FAC,3
2,STGR,Heavy,OBL,1
2,WEME,Heavy,OBL,1
2,WIPH,Heavy,WET,1
2,YHBL,Heavy,WET,1
3,BWTE,Full,FAC,7
3,CCSP,Full,FAC,6
3,GADW,Full,FAC,5
3,NSHO,Full,FAC,1
3,PBGR,Full,WET,1
3,RWBL,Full,FAC,8
3,STGR,Full,OBL,1
3,WEME,Full,OBL,1
3,WIPH,Full,WET,1
4,BRBL,Moderate,FAC,2
4,BWTE,Moderate,FAC,2
4,CCSP,Moderate,FAC,7
4,GADW,Moderate,FAC,4
4,GWTE,Moderate,FAC,1
4,NOPI,Moderate,FAC,3
4,NSHO,Moderate,FAC,1
4,RWBL,Moderate,FAC,1
4,UPSA,Moderate,OBL,1
5,BRBL,Rest,FAC,1
5,BWTE,Rest,FAC,4
5,CCSP,Rest,FAC,4
5,GADW,Rest,FAC,2
5,GRSP,Rest,OBL,1
5,NOPI,Rest,FAC,2
5,RWBL,Rest,FAC,3
5,WEME,Rest,OBL,5
6,BWTE,Heavy,FAC,1
6,CCLO,Heavy,OBL,2
6,CCSP,Heavy,FAC,7
6,GRSP,Heavy,OBL,1
6,WEME,Heavy,OBL,2
7,CCLO,Full,OBL,1
7,CCSP,Full,FAC,9
7,GRSP,Full,OBL,1
7,NOPI,Full,FAC,4
7,RWBL,Full,FAC,1
7,WEME,Full,OBL,2
8,BRBL,Moderate,FAC,1
8,BWTE,Moderate,FAC,2
8,CCSP,Moderate,FAC,9
8,COGR,Moderate,FAC,1
8,EAKI,Moderate,FAC,1
8,GADW,Moderate,FAC,1
8,GRSP,Moderate,OBL,1
8,GWTE,Moderate,FAC,1
8,MALL,Moderate,FAC,2
8,NSHO,Moderate,FAC,2
8,RWBL,Moderate,FAC,2
8,WEME,Moderate,OBL,5
9,BWTE,Heavy,FAC,2
9,CCSP,Heavy,FAC,14
9,GRSP,Heavy,OBL,3
9,MALL,Heavy,FAC,1
9,SAVS,Heavy,OBL,1
10,BRBL,Full,FAC,1
10,BWTE,Full,FAC,5
10,CCSP,Full,FAC,17
10,DICK,Full,OBL,3
10,GADW,Full,FAC,2
10,NOPI,Full,FAC,1
10,NSHO,Full,FAC,3
10,RWBL,Full,FAC,5
10,SORA,Full,WET,1
10,WEME,Full,OBL,2
11,BOBO,Moderate,OBL,1
11,BWTE,Moderate,FAC,5
11,CCSP,Moderate,FAC,12
11,DICK,Moderate,OBL,1
11,GADW,Moderate,FAC,2
11,MALL,Moderate,FAC,1
11,MODO,Moderate,FAC,3
11,NOPI,Moderate,FAC,1
11,NSHO,Moderate,FAC,1
12,BOBO,Rest,OBL,1
12,BWTE,Rest,FAC,4
12,CCSP,Rest,FAC,11
12,DICK,Rest,OBL,3
12,GADW,Rest,FAC,2
12,MODO,Rest,FAC,10
12,NOPI,Rest,FAC,4
12,RWBL,Rest,FAC,6
12,UPSA,Rest,OBL,1
12,WEME,Rest,OBL,1
13,BWTE,Heavy,FAC,2
13,CCSP,Heavy,FAC,6
13,MODO,Heavy,FAC,6
13,WEME,Heavy,OBL,3
14,AMCO,Full,WET,3
14,BOBO,Full,OBL,1
14,BWTE,Full,FAC,7
14,CCSP,Full,FAC,9
14,GADW,Full,FAC,3
14,MALL,Full,FAC,2
14,MAWR,Full,WET,1
14,NOPI,Full,FAC,1
14,NSHO,Full,FAC,3
14,PBGR,Full,WET,1
14,RWBL,Full,FAC,10
15,BRBL,Moderate,FAC,1
15,BWTE,Moderate,FAC,5
15,CCSP,Moderate,FAC,12
15,DICK,Moderate,OBL,1
15,GADW,Moderate,FAC,5
15,MALL,Moderate,FAC,1
15,MODO,Moderate,FAC,2
15,NOPI,Moderate,FAC,2
15,NSHO,Moderate,FAC,4
15,RWBL,Moderate,FAC,6
15,WEME,Moderate,OBL,2
16,BWTE,Rest,FAC,3
16,DICK,Rest,OBL,1
16,GADW,Rest,FAC,1
16,MALL,Rest,FAC,1
16,NOPI,Rest,FAC,4
16,NSHO,Rest,FAC,1
16,RWBL,Rest,FAC,7
16,WEME,Rest,OBL,3
